t_us,volt
34986.02,3.207346
34988.0,3.215403
34990.0,3.221849
34992.02,3.228294
34994.0,3.235545
34996.0,3.241185
34998.0,3.248436
35000.0,3.251659
35002.0,3.258105
35004.02,3.263744
35006.0,3.265355
35008.0,3.269384
35010.0,3.272606
35012.0,3.275829
35014.0,3.278246
35016.0,3.280663
35018.0,3.28308
35020.0,3.283885
35022.02,3.289525
35024.0,3.287914
35026.0,3.28872
35028.0,3.289525
35030.0,3.291137
35032.0,3.088056
35034.0,2.816492
35036.0,2.573129
35038.0,2.349905
35040.02,2.151658
35042.0,1.962275
35044.0,1.7946436
35046.0,1.6399036
35048.0,1.4981048
35050.0,1.3723684
35052.0,1.2555452
35054.0,1.1467288
35055.99,1.0492416
35058.02,0.9605674
35060.0,0.8783884
35062.0,0.8034102
35064.0,0.7365392
35066.0,0.6736964
35068.0,0.6172486
35070.0,0.5697136
35072.0,0.518956
35073.99,0.4738381
35076.02,0.4343601
35078.0,0.3980543
35080.0,0.3658272
