t_us,volt
29714.01,0.6229388
29716.01,0.841327
29718.01,1.041185
29720.0,1.2281024
29722.0,1.399762
29724.0,1.5528904
29726.01,1.697157
29728.0,1.8284824
29730.01,1.946161
29732.01,2.058956
29734.0,2.158909
29736.01,2.253174
29738.01,2.337015
29740.0,2.416776
29742.0,2.486921
29744.01,2.5529868
29746.0,2.6182452
29748.0,2.669004
29750.01,2.720617
29752.0,2.768152
29754.01,2.812464
29756.01,2.8511376
29758.0,2.886587
29760.0,2.92128
29762.01,2.952703
29764.0,2.980095
29766.0,3.007489
29768.01,3.031659
29770.0,3.055829
29772.01,3.073554
29774.01,3.092084
29776.01,3.106636
29778.0,3.123556
29780.0,3.13967
29782.0,3.153366
29784.0,3.165451
29786.01,3.175925
29788.0,3.186399
29790.01,3.195261
29792.01,3.204124
29794.01,3.2121808
29796.0,3.221043
29798.0,3.2291
29800.01,3.237962
29802.0,3.239573
29804.01,3.245214
29806.0,3.2532708
29808.01,3.2532708
29810.01,3.258105
29812.0,3.262133
29814.0,3.266967
29816.0,3.2709952
29818.01,3.272606
29820.0,3.273412
29822.01,3.2718
29824.01,3.279052
29826.0,3.282275
29828.01,3.283885
29830.01,3.285497
29832.0,3.287914
29834.0,3.04455
29836.01,2.789906
29838.0,2.564266
29840.01,2.353934
29842.01,2.166162
29844.0,1.986445
29846.01,1.82526
29848.01,1.6770144
29850.0,1.5408056
29852.0,1.413458
29854.01,1.302275
29856.0,1.194264
29858.0,1.099194
29860.01,1.0105196
29862.0,0.9283404
29864.01,0.8534124
29866.01,0.786491
29868.0,0.7228426
29870.0,0.6648338
29872.0,0.6132204
29874.0,0.5632682
29876.0,0.5181504
29878.01,0.4778667
29880.0,0.4416113
29882.01,0.4004715
29884.01,0.3730785
29886.01,0.344074
29888.0,0.3158754
29890.0,0.2884824
29892.01,0.2667292
29894.0,0.247393
29896.01,0.2240283
29898.0,0.21033176
29900.01,0.19416792
29902.01,0.17886016
29904.0,0.164358
29906.0,0.1546898
29908.0,0.141799
29910.01,0.13051952
29912.0,0.1192401
29914.01,0.1127947
29916.01,0.10312654
29918.01,0.0950698
29920.01,0.09023572
29922.0,0.082179
29924.0,0.07573358
29926.0,0.07170516
29928.01,0.06525976
29930.0,0.05962004
29932.01,0.05639736
29934.01,0.05317464
29936.0,0.0507576
29938.01,0.04592355
29940.01,0.04270084
29942.0,0.04189516
29944.0,0.03786679
29946.01,0.03383841
29948.0,0.03222704
29950.0,0.03142138
29952.01,0.029004348
29954.0,0.02819868
29956.01,0.1490501
29958.01,0.4142182
29960.0,0.651943
29962.0,0.8703314
29964.01,1.0685784
29966.0,1.253128
29968.0,1.4207092
29970.01,1.5714212
29972.0,1.7124644
29974.01,1.8437896
29976.01,1.962275
29978.01,2.072703
29980.0,2.172607
29982.0,2.266871
29984.0,2.345877
29986.0,2.427251
29988.01,2.495783
29990.0,2.561043
29992.01,2.62308
29994.01,2.677866
29996.0,2.726257
29998.0,2.772986
30000.0,2.812464
30002.01,2.853554
30004.0,2.892277
30006.01,2.92692
30008.01,2.955925
30010.01,2.984124
30012.01,3.011517
30014.0,3.03327
30016.0,3.054218
30018.0,3.075971
30020.01,3.094551
30022.0,3.111471
30024.01,3.127584
30026.01,3.142087
30028.0,3.153366
30030.01,3.161423
30032.01,3.175925
30034.0,3.188815
30036.0,3.197679
30038.01,3.206541
30040.0,3.215403
30042.01,3.222655
30044.01,3.228294
30046.0,3.23474
30048.01,3.238768
30050.01,3.24602
30052.0,3.250048
30054.0,3.256493
30056.01,3.259715
30058.0,3.262133
30060.0,3.266161
30062.01,3.269384
30064.0,3.2709952
30066.01,3.275024
30068.01,3.278246
30070.01,3.280663
30072.0,3.282275
30074.0,3.28308
30076.0,3.285497
30078.0,3.259715
30080.01,3.012323
30082.0,2.763317
30084.01,2.537678
30086.01,2.33057
30088.01,2.141991
30090.0,1.9679148
30092.0,1.8051184
30094.01,1.65929
30096.0,1.5230804
30098.01,1.400567
30100.0,1.287773
30102.01,1.1821788
30104.01,1.0871092
30106.0,0.9976286
30108.0,0.919478
30110.0,0.846161
30112.01,0.7744058
30114.0,0.7180086
30116.01,0.6591944
30118.01,0.6059692
30120.01,0.5584344
30122.01,0.514122
30124.0,0.4690042
30126.0,0.4359714
30128.0,0.3988602
30130.01,0.3698557
30132.0,0.33924
30134.01,0.3126526
30136.01,0.2828427
30138.0,0.2651178
30140.01,0.24255884
30142.01,0.2264454
30144.0,0.20872048
30146.0,0.19175096
30148.01,0.1748318
30150.0,0.16516368
30152.0,0.15307848
30154.01,0.13857636
30156.0,0.1281025
30158.01,0.1208514
30160.01,0.11037764
30162.0,0.1023209
30164.0,0.0942641
30166.01,0.08540166
30168.0,0.08056764
30170.0,0.07573358
30172.01,0.07251084
30174.0,0.0644541
30176.01,0.06203707
30178.01,0.05639736
30180.01,0.04995193
30182.0,0.04834056
30184.0,0.04834056
30186.0,0.04350652
30188.0,0.04028382
30190.01,0.03706112
30192.0,0.03464409
30194.01,0.0306157
30196.01,0.02981002
30198.0,0.029004348
30200.0,0.02658732
30202.0,0.1844998
30204.01,0.4432226
30206.0,0.6785304
30208.01,0.8928906
30210.01,1.0879148
30212.01,1.270853
30214.01,1.4384344
30216.0,1.589951
30218.0,1.728578
30220.0,1.857537
30222.01,1.97436
30224.0,2.081565
30226.01,2.179858
30228.01,2.2725608
30230.0,2.357156
30232.01,2.436114
30234.01,2.50384
30236.0,2.568294
30238.0,2.627915
30240.01,2.681945
30242.0,2.731091
30244.01,2.77782
30246.01,2.822132
30248.0,2.86
30250.01,2.89711
30252.01,2.93256
30254.0,2.958342
30256.0,2.985735
30258.01,3.013934
30260.0,3.0372992
30262.0,3.058246
30264.01,3.078388
30266.0,3.095357
30268.01,3.113082
30270.01,3.130806
30272.01,3.142087
30274.0,3.155783
30276.0,3.167062
30278.0,3.179147
30280.0,3.189621
30282.01,3.197679
30284.0,3.207346
30286.01,3.212986
30288.01,3.221849
30290.01,3.2299052
30292.0,3.235545
30294.0,3.241185
30296.01,3.24602
30298.0,3.250048
30300.01,3.257299
30302.0,3.258105
30304.01,3.262939
30306.01,3.267772
30308.0,3.269384
30310.0,3.273412
30312.0,3.275829
30314.01,3.27744
30316.0,3.275829
30318.01,3.282275
30320.01,3.283885
30322.0,3.285497
30324.01,3.250048
30326.01,2.980901
30328.0,2.736731
30330.0,2.5118968
30332.01,2.307205
30334.0,2.117821
30336.01,1.9445492
30338.01,1.7873924
30340.0,1.641515
30342.01,1.5077724
30344.01,1.3876764
30346.0,1.2764932
30348.0,1.170899
30350.01,1.0774404
30352.0,0.9911832
30354.0,0.9106158
30356.01,0.8372988
30358.0,0.771183
30360.01,0.7107576
30362.01,0.6527486
30364.0,0.598718
30366.0,0.5527948
30368.01,0.5084826
30370.0,0.4673928
30372.0,0.4303318
30374.01,0.394026
30376.0,0.3601876
30378.01,0.3360173
30380.01,0.30943
30382.01,0.2852596
30384.0,0.2651178
30386.0,0.24336452
30388.01,0.2248341
30390.0,0.2071091
30392.01,0.1893339
30394.0,0.1772488
30396.01,0.1627466
30398.01,0.15066144
30400.0,0.13696492
30402.0,0.1289082
30404.0,0.1192401
30406.01,0.10957196
30408.0,0.09990386
30410.01,0.09345846
30412.01,0.08620734
30414.01,0.08056764
30416.01,0.07573358
30418.0,0.06848246
30420.0,0.0644541
30422.0,0.05800869
30424.01,0.05478598
30426.0,0.05156327
30428.01,0.04914626
30430.01,0.04672923
30432.0,0.04028382
30434.01,0.04350652
30436.01,0.03706112
30438.0,0.03464409
30440.0,0.03142138
30442.01,0.0306157
30444.0,0.02417028
30446.0,0.02739299
30448.01,0.21758284
30450.0,0.4722268
30452.01,0.7051178
30454.01,0.919478
30456.0,1.115308
30458.0,1.2950236
30460.01,1.4578208
30462.0,1.606871
30464.0,1.750332
30466.01,1.871233
30468.0,1.9888616
30470.01,2.097679
30472.01,2.195971
30474.01,2.28384
30476.0,2.367631
30478.0,2.4433648
30480.0,2.509479
30482.0,2.577157
30484.01,2.635166
30486.0,2.690002
30488.01,2.738343
30490.01,2.786683
30492.01,2.825355
30494.0,2.864833
30496.0,2.899528
30498.01,2.933366
30500.0,2.963982
30502.01,2.995404
30504.01,3.017157
30506.01,3.039716
30508.01,3.059858
30510.0,3.079999
30512.0,3.096969
30514.0,3.115499
30516.01,3.130001
30518.0,3.146116
30520.01,3.160617
30522.01,3.16948
30524.0,3.175925
30526.01,3.187204
30528.01,3.200096
30530.0,3.209764
30532.0,3.217015
30534.01,3.22346
30536.0,3.2299052
30538.01,3.235545
30540.01,3.237962
30542.0,3.24602
30544.01,3.251659
30546.01,3.256493
30548.0,3.260521
30550.0,3.268578
30552.01,3.266161
30554.0,3.26455
30556.0,3.272606
30558.01,3.275024
30560.0,3.278246
30562.01,3.281469
30564.01,3.28308
30566.01,3.285497
30568.0,3.286303
30570.0,3.211375
30572.0,2.946257
30574.0,2.704503
30576.01,2.483698
30578.0,2.282229
30580.01,2.095261
30582.01,1.9244076
30584.01,1.769668
30586.0,1.624596
30588.0,1.492465
30590.01,1.371563
30592.0,1.2595736
30594.01,1.157203
30596.0,1.0653556
30598.01,0.9799038
30600.01,0.89853
30602.0,0.8284364
30604.0,0.7631264
30606.0,0.7002836
30608.01,0.6438864
30610.0,0.5930784
30612.01,0.5471548
30614.01,0.5052598
