time_s,raw_code,volts
0.00027959999999999997,11,0.44
0.00028,11,0.44
0.0002804,11,0.44
0.0002808,16,0.64
0.0002812,15,0.6
0.0002816,16,0.64
0.00028199999999999997,17,0.68
0.0002824,21,0.84
0.0002828,21,0.84
0.0002832,22,0.88
0.0002836,22,0.88
0.00028399999999999996,25,1.0
0.0002844,26,1.04
0.0002848,27,1.08
0.0002852,27,1.08
0.0002856,30,1.2
0.000286,30,1.2
0.00028639999999999997,30,1.2
0.0002868,31,1.24
0.0002872,34,1.36
0.0002876,35,1.4
0.000288,34,1.36
0.00028839999999999996,35,1.4
0.00028879999999999997,38,1.52
0.0002892,38,1.52
0.0002896,39,1.56
0.00029,39,1.56
0.0002904,42,1.68
0.00029079999999999997,42,1.68
0.0002912,42,1.68
0.0002916,42,1.68
0.000292,45,1.8
0.0002924,45,1.8
0.00029279999999999996,46,1.84
0.00029319999999999997,46,1.84
0.0002936,47,1.88
0.000294,48,1.92
0.0002944,48,1.92
0.0002948,48,1.92
0.00029519999999999997,50,2.0
0.0002956,51,2.04
0.000296,51,2.04
0.0002964,51,2.04
0.0002968,53,2.12
0.00029719999999999996,53,2.12
0.00029759999999999997,54,2.16
0.000298,54,2.16
0.0002984,55,2.2
0.0002988,56,2.24
0.0002992,55,2.2
0.00029959999999999996,56,2.24
0.0003,58,2.32
0.0003004,58,2.32
0.0003008,58,2.32
0.0003012,58,2.32
0.0003016,59,2.36
0.00030199999999999997,60,2.4
0.0003024,59,2.36
0.0003028,60,2.4
0.0003032,61,2.44
0.0003036,61,2.44
0.00030399999999999996,62,2.48
0.00030439999999999997,62,2.48
0.0003048,62,2.48
0.0003052,63,2.52
0.0003056,63,2.52
0.000306,63,2.52
0.00030639999999999997,64,2.56
0.0003068,64,2.56
0.0003072,64,2.56
0.0003076,64,2.56
0.000308,66,2.64
0.00030839999999999996,66,2.64
0.00030879999999999997,66,2.64
0.0003092,66,2.64
0.0003096,67,2.68
0.00031,67,2.68
0.0003104,67,2.68
0.00031079999999999997,67,2.68
0.0003112,68,2.72
0.0003116,68,2.72
0.000312,68,2.72
0.0003124,68,2.72
0.00031279999999999996,69,2.76
0.00031319999999999997,69,2.76
0.0003136,69,2.76
0.000314,69,2.76
0.0003144,70,2.8
0.0003148,70,2.8
0.00031519999999999996,70,2.8
0.0003156,70,2.8
0.000316,71,2.84
0.0003164,72,2.88
0.0003168,71,2.84
0.0003172,71,2.84
0.00031759999999999997,72,2.88
0.000318,72,2.88
0.0003184,72,2.88
0.0003188,71,2.84
0.0003192,73,2.92
0.00031959999999999996,73,2.92
0.00031999999999999997,73,2.92
0.0003204,73,2.92
0.0003208,74,2.96
0.0003212,74,2.96
0.0003216,74,2.96
0.00032199999999999997,74,2.96
0.0003224,75,3.0
0.0003228,74,2.96
0.0003232,74,2.96
0.0003236,74,2.96
0.00032399999999999996,75,3.0
0.00032439999999999997,75,3.0
0.0003248,75,3.0
0.0003252,75,3.0
0.0003256,76,3.04
0.000326,75,3.0
0.00032639999999999996,76,3.04
0.0003268,75,3.0
0.0003272,76,3.04
0.0003276,76,3.04
0.000328,76,3.04
0.00032839999999999996,76,3.04
0.00032879999999999997,76,3.04
0.0003292,76,3.04
0.0003296,77,3.08
0.00033,76,3.04
0.0003304,77,3.08
0.00033079999999999996,77,3.08
0.0003312,77,3.08
0.0003316,77,3.08
0.000332,78,3.12
0.0003324,77,3.08
0.00033279999999999996,77,3.08
0.00033319999999999997,77,3.08
0.0003336,78,3.12
0.000334,78,3.12
0.0003344,78,3.12
0.0003348,78,3.12
0.00033519999999999996,78,3.12
0.00033559999999999997,78,3.12
0.000336,78,3.12
0.0003364,78,3.12
0.0003368,78,3.12
0.0003372,78,3.12
0.00033759999999999997,79,3.16
0.000338,78,3.12
0.0003384,79,3.16
0.0003388,78,3.12
0.0003392,78,3.12
0.00033959999999999996,78,3.12
0.00033999999999999997,79,3.16
0.0003404,79,3.16
0.0003408,78,3.12
0.0003412,78,3.12
0.0003416,79,3.16
0.00034199999999999996,79,3.16
0.0003424,79,3.16
0.0003428,79,3.16
0.0003432,79,3.16
0.0003436,79,3.16
0.00034399999999999996,79,3.16
0.00034439999999999997,79,3.16
0.0003448,80,3.2
0.0003452,80,3.2
0.0003456,79,3.16
0.000346,79,3.16
0.00034639999999999996,80,3.2
0.00034679999999999997,79,3.16
0.0003472,80,3.2
0.0003476,79,3.16
0.000348,80,3.2
0.00034839999999999996,80,3.2
0.00034879999999999997,79,3.16
0.0003492,79,3.16
0.0003496,80,3.2
0.00035,80,3.2
0.0003504,80,3.2
0.00035079999999999996,80,3.2
0.00035119999999999997,80,3.2
0.0003516,80,3.2
0.000352,80,3.2
0.0003524,80,3.2
0.0003528,80,3.2
0.00035319999999999997,80,3.2
0.0003536,80,3.2
0.000354,80,3.2
0.0003544,80,3.2
0.0003548,80,3.2
0.00035519999999999996,80,3.2
0.00035559999999999997,80,3.2
0.000356,80,3.2
0.0003564,80,3.2
0.0003568,80,3.2
0.0003572,80,3.2
0.00035759999999999996,80,3.2
0.000358,80,3.2
0.0003584,80,3.2
0.0003588,80,3.2
0.0003592,81,3.24
0.00035959999999999996,81,3.24
0.00035999999999999997,80,3.2
0.0003604,80,3.2
0.0003608,81,3.24
0.0003612,80,3.2
0.0003616,81,3.24
0.00036199999999999996,80,3.2
0.00036239999999999997,81,3.24
0.0003628,81,3.24
0.0003632,81,3.24
0.0003636,80,3.2
0.00036399999999999996,81,3.24
0.00036439999999999997,81,3.24
0.0003648,80,3.2
0.0003652,80,3.2
0.0003656,81,3.24
0.000366,81,3.24
0.00036639999999999996,81,3.24
0.00036679999999999997,81,3.24
0.0003672,81,3.24
0.0003676,81,3.24
0.000368,81,3.24
0.0003684,80,3.2
0.00036879999999999997,81,3.24
0.0003692,81,3.24
0.0003696,81,3.24
0.00037,81,3.24
0.0003704,82,3.28
0.00037079999999999996,81,3.24
0.00037119999999999997,81,3.24
0.0003716,81,3.24
0.000372,81,3.24
0.0003724,81,3.24
0.0003728,81,3.24
0.00037319999999999996,81,3.24
0.0003736,82,3.28
0.000374,81,3.24
0.0003744,81,3.24
0.0003748,81,3.24
0.00037519999999999996,82,3.28
0.00037559999999999997,82,3.28
0.000376,81,3.24
0.0003764,76,3.04
0.0003768,80,3.2
0.0003772,75,3.0
0.00037759999999999996,75,3.0
0.00037799999999999997,70,2.8
0.0003784,74,2.96
0.0003788,69,2.76
0.0003792,68,2.72
0.00037959999999999996,64,2.56
0.00037999999999999997,68,2.72
0.0003804,63,2.52
0.0003808,63,2.52
0.0003812,58,2.32
0.0003816,62,2.48
0.00038199999999999996,58,2.32
0.00038239999999999997,58,2.32
0.0003828,54,2.16
0.0003832,58,2.32
0.0003836,54,2.16
0.000384,53,2.12
0.00038439999999999997,50,2.0
0.0003848,52,2.08
0.0003852,50,2.0
0.0003856,49,1.96
0.000386,46,1.84
0.00038639999999999996,49,1.96
0.00038679999999999997,46,1.84
0.0003872,45,1.8
0.0003876,43,1.72
0.000388,45,1.8
0.0003884,42,1.68
0.00038879999999999996,42,1.68
0.0003892,38,1.52
0.0003896,42,1.68
0.00039,38,1.52
0.0003904,39,1.56
0.00039079999999999996,35,1.4
0.00039119999999999997,38,1.52
0.0003916,35,1.4
0.000392,35,1.4
0.0003924,33,1.32
0.0003928,35,1.4
0.00039319999999999996,33,1.32
0.00039359999999999997,33,1.32
0.000394,31,1.24
0.0003944,32,1.28
0.0003948,30,1.2
0.00039519999999999996,30,1.2
0.00039559999999999997,28,1.12
0.000396,30,1.2
0.0003964,28,1.12
0.0003968,28,1.12
0.0003972,26,1.04
0.00039759999999999996,27,1.08
0.00039799999999999997,26,1.04
0.0003984,25,1.0
0.0003988,24,0.96
0.0003992,25,1.0
0.00039959999999999996,24,0.96
0.00039999999999999996,23,0.92
0.0004004,22,0.88
0.0004008,23,0.92
0.0004012,22,0.88
0.0004016,22,0.88
0.00040199999999999996,20,0.8
0.00040239999999999997,22,0.88
0.0004028,20,0.8
0.0004032,20,0.8
0.0004036,19,0.76
0.000404,20,0.8
0.00040439999999999996,18,0.72
0.0004048,18,0.72
0.0004052,18,0.72
0.0004056,18,0.72
0.000406,17,0.68
0.00040639999999999996,17,0.68
0.00040679999999999997,16,0.64
0.0004072,17,0.68
0.0004076,16,0.64
0.000408,16,0.64
0.0004084,15,0.6
0.00040879999999999996,16,0.64
0.00040919999999999997,15,0.6
0.0004096,15,0.6
0.00041,14,0.56
0.0004104,14,0.56
0.00041079999999999996,13,0.52
0.00041119999999999997,13,0.52
0.0004116,13,0.52
0.000412,14,0.56
0.0004124,12,0.48
0.0004128,12,0.48
0.00041319999999999996,12,0.48
0.00041359999999999997,13,0.52
0.000414,11,0.44
0.0004144,11,0.44
0.0004148,11,0.44
0.00041519999999999995,12,0.48
0.00041559999999999996,11,0.44
0.000416,11,0.44
0.0004164,10,0.4
0.0004168,11,0.44
0.0004172,10,0.4
0.00041759999999999996,10,0.4
0.00041799999999999997,9,0.36
